RC Institution,RC Department,RC Registered Course Name,VCS #,VCS Name,Course Title,Course Number,Course Credit level,Course Credit Hours,Edition,Alternate Course Values,Start Date,End Date,Start Year,End Year,Start Semester,End Semester,Start Quarter,End Quarter,A1,B1,C1,C2,D1,D2,D3,D4,D5,E1,5A,5B (B1),5B (B2),5B (B3),5C1-C2,5D1,5D2-D5 (D2),5D2-D5 (D3)
Michigan State University/Special Education Program,"Counseling, Educational Psychology, and Special Education",51052 BCBA,51052, BCBA,Verbal Behavior in Education,CEP 855,Graduate,3,Fifth Edition,,8/26/2020,,,,,,,,,,,,,,,,,,,7,8,,,15,15,
Michigan State University/Special Education Program,Education,4367 BCBA,4367, BCBA,Experimental Analysis of Behavior,CEP 852,Graduate,3,Fourth Edition,,,,,,,,,,,5,12,,,25,3,,,,,,,,,,,
Michigan State University/Special Education Program,Education,4367 BCBA,4367, BCBA,Single-case Experimental Design for Intervention Research,CEP 942,Graduate,3,Fourth Edition,,,,,,,,,,,,19,20,,,,,6,,,,,,,,,
Michigan State University/Special Education Program,Education,4367 BCBA,4367, BCBA,Ethics in Behavior Analysis,CEP 854,Graduate,3,Fourth Edition,,,,,,,,,,45,,,,,,,,,,,,,,,,,
Michigan State University/Special Education Program,"Counseling, Educational Psychology, and Special Education",51052 BCBA,51052, BCBA,Autism Spectrum Disorders: Assessment and Intervention,CEP 845,Graduate,3,Fifth Edition,,1/6/2020,,,,,,,,,,,,,,,,,,,,10,,,15,20,
Michigan State University/Special Education Program,"Counseling, Educational Psychology, and Special Education",51051 BCBA,51051, BCBA,Supervision in Applied Behavior Analysis,CEP 848,Graduate,3,Fifth Edition,,5/11/2020,,,,,,,,,,,,,,,,,,,,,,,,15,30
Michigan State University/Special Education Program,"Counseling, Educational Psychology, and Special Education",51052 BCBA,51052, BCBA,Supervision in Applied Behavior Analysis,CEP 848,Graduate,3,Fifth Edition,,5/11/2020,,,,,,,,,,,,,,,,,,,,,,,,15,30
Michigan State University/Special Education Program,"Counseling, Educational Psychology, and Special Education",51051 BCBA,51051, BCBA,Experimental Analysis of Behavior,CEP 852,Graduate,3,Fifth Edition,,8/28/2019,,,,,,,,,,,,,,,,,,,,20,,10,,15,
Midland University,Psychology,4171 BCaBA,4171, BCaBA,Behavioral Assessment,PSY 324,Undergraduate,3,Fourth Edition,,8/1/2014,,,,,,,,,9,6,5,14,,5,,,6,,,,,,,,
Midland University,Psychology,4171 BCaBA,4171, BCaBA,Advanced Behavior Analysis,PSY 424,Undergraduate,3,Fourth Edition,,8/1/2014,,,,,,,,4,13,,,,18,,5,5,,,,,,,,,
Midland University,Psychology,4171 BCaBA,4171, BCaBA,Psychology of Learning,PSY 200/300,Undergraduate,3,Fourth Edition,,8/1/2013,,,,,,,,,22,4,,2,17,,,,,,,,,,,,
Midland University,Psychology,4171 BCaBA,4171, BCaBA,Special Topics in Applied Behavior Analysis,PSY 485,Undergraduate,3,Fourth Edition,,1/1/2015,,,,,,,,11,1,,,14,10,,,,9,,,,,,,,
Mississippi State University,"Counseling, Educational Psychology, and Foundations",4291 BCBA,4291, BCBA,Advanced Applied Behavior Analysis,8763,Graduate,3,Fourth Edition,{Title:Advanced ABA},,,2015,,Spring,,,,,,,,,45,,,,,,,,,,,,
Mississippi State University,"Counseling, Educational Psychology, and Foundations",4291 BCBA,4291, BCBA,Social and Behavioral Assessment,8493,Graduate,3,Fourth Edition,{Title:Personality Assessment},,,2015,,Spring,,,,,,,,15,,,,,30,,,,,,,,
Mississippi State University,"Counseling, Educational Psychology, and Foundations",4291 BCBA,4291, BCBA,Single Subject Research Designs in Education,9443,Graduate,3,Fourth Edition,{Title:Sngl-Sbjt Re Des Ed},,,2015,,Spring,,,,,,25,20,,,,,,,,,,,,,,
Mississippi State University,"Counseling, Educational Psychology, and Foundations",4291 BCBA,4291, BCBA,Behavioral and Cognitive Behavioral Interventions,6113,Graduate,3,Fourth Edition,{Number:EPY 6113},,,2015,,Spring,,,,,45,,,,,,,,,,,,,,,,
Mississippi State University,"Counseling, Educational Psychology, and Foundations",4291 BCBA,4291, BCBA,"Contemporary, Legal, Ethical, and Professional Issues in School and Educational Psychology",9703,Graduate,3,Fourth Edition,{Title:Leg & Eth School Psy},,,2015,,Spring,,,,45,,,,,,,,,,,,,,,,,
Mississippi State University,"Counseling, Educational Psychology, and Foundations",4291 BCBA,4291, BCBA,Principles of Behavior Analysis,6113,Graduate,3,Fourth Edition,{Title:Principles ABA},,,2015,,Spring,,,,,45,,,,,,,,,,,,,,,,
Mississippi State University,"Counseling, Educational Psychology, and Foundations",4291 BCBA,4291, BCBA,Applications of School Psychology,6123,Graduate,3,Fourth Edition,{Title:App of School Psychology},,,2015,,Spring,,,,,,,,15,,10,10,10,,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Clinical Practicum for Special Needs Populations,SPE 791,Graduate,3,Fourth Edition,,8/1/2018,,,,,,,,,,,,10,5,10,,10,10,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Introduction to Applied Behavior Analysis,PSY 614,Graduate,3,Fourth Edition,,8/1/2016,,,,,,,,,20,,,,25,,,,,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Ethical and Professional Issues,PSY 761,Graduate,3,Fourth Edition,,8/1/2016,,,,,,,,45,,,,,,,,,,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Observational Methods and Functional Assessment,PSY 757,Graduate,3,Fourth Edition,,8/1/2016,,,,,,,,,,,,30,15,,,,,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Single-Subject Research Designs,PSY 747,Graduate,3,Fourth Edition,,8/1/2016,,,,,,,,,,25,20,,,,,,,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Practicum,PSY 796,Graduate,3,Fourth Edition,,8/1/2016,,,,,,,,,,,,,5,10,10,10,10,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Applied Behavioral Analysis for Develop. Disabilities & Autism Spectrum Disorders,SPE 626,Graduate,3,Fourth Edition,,8/1/2016,,,,,,,,,,,,30,15,,,,,,,,,,,,
Missouri State University,Psychology,4422 BCBA,4422, BCBA,Conceptual Foundations of Applied Behavioral Science,PSY 777,Graduate,3,Fourth Edition,,8/1/2016,,,,,,,,,25,,,,,,,,20,,,,,,,,
Mohawk College,Social Science,4320 BCaBA,4320, BCaBA,Professional Relationships with Families and Teams ,Soc Sci 2UF3E,Undergraduate,39,Fourth Edition,{Title:PROF.RELATION:FAMILIES&TEAMS},,,2015,,Summer,,,,,10,3,,5,8,,3,3,7,,,,,,,,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Ethics and Professionalism,EDUC 10034,Undergraduate,30,Fifth Edition,,9/4/2019,,,,,,,,,,,,,,,,,,21,,,,,,,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Introduction to ASD,HSCI 10041,Undergraduate,45,Fifth Edition,,9/4/2019,,,,,,,,,,,,,,,,,,2,,2,,,3,2,3
Mohawk College,Social Science,4320 BCaBA,4320, BCaBA,PRINCIPLES:APP.BEH.ANALYSIS 2,SOC SCI 2UB3,Undergraduate,39,Fourth Edition,{Title:PRINCIPLES:APP.BEH.ANALYSIS 2},,,2015,,Summer,,,,,29,,,5,3,0,2,1,1,,,,,,,,
Mohawk College,Social Science,4320 BCaBA,4320, BCaBA,Introduction to Autism Spectrum Disorder,SOC SCI 2US3,Undergraduate,39,Fourth Edition,{Title:INTRO:AUTISM SPECTRUM DISORD},,,2015,,Summer,,,,,1,,,5,21,,,1,11,,,,,,,,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Introduction to Applied Behaviour Analysis,HSCI10042,Undergraduate,60,Fifth Edition,,9/4/2019,,,,,,,,,,,,,,,,,,1,23,2,,7,5,15,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Treating Challenging Behaviours,HMNS 10006,Undergraduate,45,Fifth Edition,,1/6/2020,,,,,,,,,,,,,,,,,,3,,5,,7,15,10,
Mohawk College,Social Science,4320 BCaBA,4320, BCaBA,Ethical Practice in the Field of Applied Behaviour Analysis,Soc Sci 2UE3E,Undergraduate,39,Fourth Edition,{Title:ETHICAL PRACT:APP.BEH.ANALYS},,,2015,,Summer,,,,12,6,1,,3,3,4,,3,7,,,,,,,,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Applied Behaviour Analysis Feild Seminar 2,WORK 10145,Undergraduate,32,Fifth Edition,,1/6/2020,,,,,,,,,,,,,,,,,,5,,,,,6,5,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Applied Behaviour Analysis 2,HSCI 10233,Undergraduate,45,Fifth Edition,,1/6/2020,,,,,,,,,,,,,,,,,,3,4,,,10,7,8,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Behaviour Skill Building,EDUC 10028,Undergraduate,60,Fifth Edition,,1/6/2020,,,,,,,,,,,,,,,,,,,,3,,8,4,24,2
Mohawk College,Social Science,4320 BCaBA,4320, BCaBA,Single Subject Research Design,SOC SCI 2UR3,Undergraduate,39,Fourth Edition,{Title: SINGLE SUBJT. RESEARCH DESIGN},,,2015,,Summer,,,,4,5,6,7,12,,2,1,1,1,,,,,,,,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Specialized Instruction Strategies,EDUC 10031,Undergraduate,60,Fifth Edition,,9/4/2019,,,,,,,,,,,,,,,,,,2,,4,,,3,32,
Mohawk College,Health Studies,51057 BCaBA,51057, BCaBA,Parent and Staff Training,EDUC 10029,Undergraduate,30,Fifth Edition,,1/6/2020,,,,,,,,,,,,,,,,,,3,,2,,,2,3,12
Mohawk College,Social Science,4320 BCaBA,4320, BCaBA,Principles of Applied Behaviour Analysis 1,SOC SCI 2UA3,Undergraduate,39,Fourth Edition,{Title:PRINCIPLES:APP.BEH.ANALYSIS I},,,2015,,Summer,,,,,14,3,1,2,13,2,2,2,,,,,,,,,
Monash University,Education,51150 BCBA,51150, BCBA,Evidence-Based Intructional Design,EDF5687,Graduate,4,Fifth Edition,,3/1/2020,,,,,,,,,,,,,,,,,,,,,,,20,25,
Monash University,Education,51150 BCBA,51150, BCBA,Concepts and Principles of Learning,EDF5684,Graduate,4,Fifth Edition,,3/1/2020,,,,,,,,,,,,,,,,,,,,45,,,,,
Monash University,Education,51150 BCBA,51150, BCBA,"Measurement, Data Analysis, and Experimental Design",EDF5686,Graduate,4,Fifth Edition,,3/1/2020,,,,,,,,,,,,,,,,,,,,,,45,,,
Monash University,Education,51150 BCBA,51150, BCBA,Performance Management and Supervision,EDF5688,Graduate,4,Fifth Edition,,7/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,30
Monash University,Education,51150 BCBA,51150, BCBA,Professional Ethics for Behaviour Analysts,EDF5685,Graduate,4,Fifth Edition,,3/1/2020,,,,,,,,,,,,,,,,,,45,,,,,,,
Monash University,Education,51150 BCBA,51150, BCBA,Behaviour Assessment and Treatment,EDF5679,Graduate,4,Fifth Edition,,3/1/2020,,,,,,,,,,,,,,,,,,,,,,,25,20,
Monash University,Education,51150 BCBA,51150, BCBA,Diverse Applications of Behaviour Analysis,EDF5689,Graduate,4,Fifth Edition,,7/15/2020,,,,,,,,,,,,,,,,,,,,,,,,15,
Monash University,Education,51150 BCBA,51150, BCBA,Philosophical Foundations of Behaviour Analysis,EDF5683,Graduate,4,Fifth Edition,,3/1/2020,,,,,,,,,,,,,,,,,,,45,,,,,,
Monash University,Education,4450 BCBA,4450, BCBA,Behaviour analysis: Concepts and foundations,EDF5680,Graduate,9,Fourth Edition,,,,,,,,,,45,45,20,,10,,2,,,,,,,,,,,
Monash University,Education,4450 BCBA,4450, BCBA,Applications of Behaviour Analysis in Diverse Contexts,EDF5682,Graduate,9,Fourth Edition,,,,,,,,,,,,,,,,,5,10,30,,,,,,,,
Monash University,Education,4450 BCBA,4450, BCBA,Behaviour analysis: Implementation and experimental methods,EDF5681,Graduate,9,Fourth Edition,,,,,,,,,,,,5,20,20,45,8,5,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Applications of Applied Behavior Analysis Principles,EDS 599,Graduate,3,Fourth Edition,{Title:APPLIC OF ABA PRINC},,,2017,,Fall,,,,2,7,,1,19,9,0,5,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Assessment and Analysis of Behavior Change,EDS 604,Graduate,3,Fourth Edition,{Title:Assess Ana of Beh Chg},,,2013,,Fall,,,,,3,6,,15,11,9,1,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Research and Advanced Topics in Autism Spectrum Disorders,EDS 605,Graduate,3,Fourth Edition,{Title:Res and Adv Top in ASD},,,2013,,Fall,,,,1,2,9,12,,2,,3,9,6,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Research and Advanced Topics in Autism Spectrum Disorders and Applied Behavior Analysis,EDS 599,Graduate,3,Fourth Edition,{Title:RAT: AUTISM AND ABA},,,2017,,Fall,,,,1,2,9,12,,2,,3,9,6,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,"Applied Behavior Analysis: Selecting, Defining, and Measuring Behavior and Evaluating Behavior Change",EDS 601,Graduate,3,Fourth Edition,{Title:ABA: Meas Eval Beh Chg},,,2013,,Fall,,,,8,16,10,9,1,,,,1,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,"Applied Behavior Analysis: Selecting, Defining, and Measuring Behavior and Evaluating Behavior Change",EDS 599,Graduate,3,Fourth Edition,{Title:ABA: EVAL BEH CHANGE},,,2017,,Fall,,,,8,16,10,9,1,,,,1,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Ethics and Professionalism for Behavior Analysts,EDS 606,Graduate,3,Fourth Edition,{Title:Ethics and Prof for BA},,,2013,,Fall,,,,45,,,,,,,,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Ethics and Professionalism for Behavior Analysts,EDS 599,Graduate,3,Fourth Edition,{Title:ETHICS BEHAV ANALY},,,2017,,Fall,,,,45,,,,,,,,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,"Applied Behavior Analysis: Reinforcement, Punishment, and the Development of New Behavior",EDS 602,Graduate,3,Fourth Edition,{Title:ABA: Dev of New Beh},,,2013,,Fall,,,,,16,,,4,22,1,,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Assessment and Analysis of Behavior Change,EDS 599,Graduate,3,Fourth Edition,{Title:ASMT & ANALY BEH CHANGE},,,2017,,Fall,,,,,3,6,,15,11,9,1,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,Applications of Applied Behavior Analysis Principles,EDS 603,Graduate,3,Fourth Edition,{Title:App of ABA Prin},,,2013,,Fall,,,,2,7,,1,19,9,0,5,,,,,,,,,,
Monmouth University,"Educational Leadership, Special Education, and School Counseling",4132 BCBA,4132, BCBA,"Applied Behavior Analysis: Reinforcement, Punishment, and the Development of New Behavior",EDS 599,Graduate,3,Fourth Edition,"{Title:REIN, PSH, DEV}",,,2017,,Fall,,,,,16,,,4,22,1,,,,,,,,,,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Applied Behavior Analysis,SPED 520,Graduate,3,Fourth Edition,{Number:SPED 593}{Title:Applied Behavior Analysis},,,2013,,Fall,,,,,45,,,,,,,,,,,,,,,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Data-Based Instruction,SPED 574,Graduate,3,Fourth Edition,{Title:Data-Based Instruction},,,2013,,Fall,,,,,,,,,45,,,,,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Ethics in Education and Human Services,SPED 515,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,45,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Assessment and Program Planning,SPED 551,Graduate,3,Fourth Edition,{Title:Assessment & Planning},,,2013,,Fall,,,,,,,,30,,5,5,5,,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Assessment and Program Planning,SPED 551,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Professional Seminar in SPED ABA BCaBA,SPED 597-800,Graduate,3,Fourth Edition,{Title:Professional Seminar in SPED},,,2013,,Fall,,,,15,,15,,,,,,,15,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Best Practices in Teaching Students with Emotional Disturbance,SPED 550,Graduate,3,Fourth Edition,{Title:Tchng Stdnts with Emtnl Dstrb},,,2013,,Fall,,,,,,,,,,5,5,5,30,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,ABA,SPED 520,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,45,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Data-Based Instruction,SPED 574,Graduate,3,Fourth Edition,{Title:Data-Based Instruction},,,2013,,Spring,,,,,,,,,45,,,,,,,,,,,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Ethics in Education and Human Services,SPED 593,Graduate,1,Fourth Edition,{Title:Ethics in Edu & Human Svcs},,,2013,,Fall,,,,15,,,,,,,,,,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Learning and the Experimental Analysis of Behavior,SPED 533,Graduate,3,Fifth Edition,{Number:SPED 593},,,2018,,Fall,,,,,,,,,,,,,,,45,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Research in Special Programs,SPED 502,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Data Based Instruction,SPED 574,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,15
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Applied Behavior Analysis,SPED 520,Graduate,3,Fourth Edition,{Number:SPED 593}{Title:Applied Beh Anal},,,2013,,Fall,,,,,45,,,,,,,,,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Best Practice Teaching Students with Emot. & Beh. Disorders,SPED 550,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,15
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Autism: Characteristics and Intervention,SPED 580,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,15
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Autism Characteristics & Intervention,SPED 580/593,Graduate,3,Fourth Edition,{Number:SPED 580}{Number:593}{Title:Autism Spec Dis Char & Int},,,2013,,Spring,,,,,5,5,,5,,10,10,10,,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Research in Special Programs,SPED 502,Graduate,3,Fourth Edition,{Title:Research in Special Programs},,,2012,,Fall,,,,,,25,20,,,,,,,,,,,,,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Seminar for BCaBAs,SPED 592,Graduate,3,Fourth Edition,{Title:Seminar for BCaBA},,,2013,,Fall,,,,15,,10,5,,,,,,15,,,,,,,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Research in Special Programs,SPED 502,Graduate,1,Fourth Edition,{Title:Research in Special Programs},,,2013,,Fall,,,,,,10,5,,,,,,,,,,,,,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Autism Workshop,SPED 580,Graduate,1,Fourth Edition,{Number:SPED 593}{Title:Wk: Autism},,,2013,,Fall,,,,,,,,,,,,,15,,,,,,,,
Montana State University - Billings,Education,4125 BCaBA,4125, BCaBA,Assessment and Program Planning,SPED 551,Graduate,3,Fourth Edition,{Title:Assessment & Planning},,,2013,,Fall,,,,,,,,30,,5,5,5,,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Ethics in Education & Human Services,SPED 515,Graduate,3,Fourth Edition,{Title:Ethics in Edu & Human Svcs},,,2013,,Fall,,,,45,,,,,,,,,,,,,,,,,
Montana State University - Billings,Education,4124 BCBA,4124, BCBA,Conceptual Issues in Radical Behaviorism,SPED 586,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,45,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Measurement and Experimental Design I,BEHABA-2,Graduate,15,Fourth Edition,{Number:BEHABA-2},,,2016,,Spring,,,,,,10,5,,,,,,,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,"Identification, Assessment and Discretionary",BEHABA-5,Graduate,45,Fourth Edition,{Number:BEHABA-5},,,2016,,Spring,,,,,,,,30,,,,,15,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Intervention and implementation I,BEHABA-6,Graduate,15,Fourth Edition,,,,2016,,Spring,,,,,,,,,,5,5,5,,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Behaviour Change Procedures,GCS-4,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Behaviour Change Applications,BEHABA-4,Graduate,45,Fourth Edition,{Number:BEHABA-4},,,2016,,Spring,,,,,,,,,45,,,,,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Intervention and Implementation II,BEHABA-9,Graduate,30,Fourth Edition,{Number:BEHABA-9},,,2016,,Spring,,,,,,,,,,5,5,5,15,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Introduction to Ethical and Professional Conduct,BEHABA-3,Graduate,15,Fourth Edition,{Number:BEHABA-3},,,2016,,Spring,,,,15,,,,,,,,,,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Selecting and Implementing Interventions,GCS-6,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Concepts and Principles of Behaviour Analysis,BEHABA-1,Graduate,45,Fourth Edition,{Number:BEHABA-1},,,2016,,Spring,,,,,45,,,,,,,,,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Philosophical Underpinnings & Concepts and Principles II,GCS-7,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,45,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Measurement and Experimental Design II,BEHABA-7,Graduate,30,Fourth Edition,{Number:BEHABA-7},,,2016,,Spring,,,,,,15,15,,,,,,,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Philosophical Underpinnings & Concepts and Principles I,GCS-1,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,45,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Personnel Supervision and Management,GCS-8,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,,30
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Ethics,GCS-5,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,45,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Measurement & Experimental Design,GCS-2,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Ethical and Professional Conduct,BEHABA-8,Graduate,30,Fourth Edition,{Number:BEHABA-8},,,2016,,Spring,,,,30,,,,,,,,,,,,,,,,,
Moscow Centre of Pedagogy and Psychology,Pedagogy,4363 BCBA,4363, BCBA,Behaviour Assessment,GCS-3,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4075 BCBA,4075, BCBA,Problem Identification and Assessment,II,Graduate,4.5,Fourth Edition,{Title:Problem Identification and Assessment},8/6/2013,,2013,,,,,,,,5,,30,5,5,,,,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4076 BCaBA,4076, BCaBA,Advanced Topics in Behavior Analysis,V,Graduate,4.5,Fourth Edition,{Title:Advanced Topics in BA},8/6/2013,,2013,,,,,,,,,,,,5,5,10,25,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4076 BCaBA,4076, BCaBA,Concepts and Principles of Behavior Analysis,I,Graduate,4.5,Fourth Edition,{Title:Concepts and Principles of BA},8/6/2013,,2013,,,,,,,40,,,,,,,,5,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4076 BCaBA,4076, BCaBA,Topics in Behavior Analysis,IVa,Graduate,4.5,Fourth Edition,,8/6/2013,,2013,,,,,,15,5,5,5,,,,,5,10,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4075 BCBA,4075, BCBA,Ethical and Professional Conduct,VI,Graduate,4.5,Fourth Edition,{Title:Ethical and Professional Conduct},8/6/2013,,2013,,,,,,45,,,,,,,,,,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4076 BCaBA,4076, BCaBA,Problem Identification and Assessment,II,Graduate,4.5,Fourth Edition,{Title:Problem Identification and Assessment},8/6/2013,,2013,,,,,,,,5,,30,5,5,,,,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4075 BCBA,4075, BCBA,Advanced Topics in Behavior Analysis,V,Graduate,4.5,Fourth Edition,{Title:Advanced Topics in BA},8/6/2013,,2013,,,,,,,,,,,,5,5,10,25,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4075 BCBA,4075, BCBA,Fundamental Elements of Behavior Change and Specific Behavior Change Procedures,III,Graduate,4.5,Fourth Edition,{Title:Elements of Behavior Change and Procedures},8/6/2013,,2013,,,,,,,,,,,40,,5,,,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4075 BCBA,4075, BCBA,Research Methods in Behavior Analysis,IV,Graduate,4.5,Fourth Edition,{Title:Research Methods in BA},8/6/2013,,2013,,,,,,,5,20,20,,,,,,,,,,,,,,
Moscow Institute of Psychoanalysis,Department of Applied Behavior Analysis,4075 BCBA,4075, BCBA,Concepts and Principles of Behavior Analysis,I,Graduate,4.5,Fourth Edition,{Title:Concepts and Principles of BA},8/6/2013,,2013,,,,,,,40,,,,,,,,5,,,,,,,,
